Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
483,Huyện Nam Đông,Huyện,46,Tỉnh Thừa Thiên Huế
490,Quận Liên Chiểu,Quận,48,Thành phố Đà Nẵng
491,Quận Thanh Khê,Quận,48,Thành phố Đà Nẵng
492,Quận Hải Châu,Quận,48,Thành phố Đà Nẵng
493,Quận Sơn Trà,Quận,48,Thành phố Đà Nẵng
494,Quận Ngũ Hành Sơn,Quận,48,Thành phố Đà Nẵng
495,Quận Cẩm Lệ,Quận,48,Thành phố Đà Nẵng
497,Huyện Hòa Vang,Huyện,48,Thành phố Đà Nẵng
498,Huyện Hoàng Sa,Huyện,48,Thành phố Đà Nẵng
502,Thành phố Tam Kỳ,Thành phố,49,Tỉnh Quảng Nam
503,Thành phố Hội An,Thành phố,49,Tỉnh Quảng Nam
504,Huyện Tây Giang,Huyện,49,Tỉnh Quảng Nam
505,Huyện Đông Giang,Huyện,49,Tỉnh Quảng Nam
506,Huyện Đại Lộc,Huyện,49,Tỉnh Quảng Nam
507,Thị xã Điện Bàn,Thị xã,49,Tỉnh Quảng Nam
508,Huyện Duy Xuyên,Huyện,49,Tỉnh Quảng Nam
509,Huyện Quế Sơn,Huyện,49,Tỉnh Quảng Nam
510,Huyện Nam Giang,Huyện,49,Tỉnh Quảng Nam
511,Huyện Phước Sơn,Huyện,49,Tỉnh Quảng Nam
512,Huyện Hiệp Đức,Huyện,49,Tỉnh Quảng Nam
513,Huyện Thăng Bình,Huyện,49,Tỉnh Quảng Nam
514,Huyện Tiên Phước,Huyện,49,Tỉnh Quảng Nam
515,Huyện Bắc Trà My,Huyện,49,Tỉnh Quảng Nam
516,Huyện Nam Trà My,Huyện,49,Tỉnh Quảng Nam
517,Huyện Núi Thành,Huyện,49,Tỉnh Quảng Nam
518,Huyện Phú Ninh,Huyện,49,Tỉnh Quảng Nam
519,Huyện Nông Sơn,Huyện,49,Tỉnh Quảng Nam
522,Thành phố Quảng Ngãi,Thành phố,51,Tỉnh Quảng Ngãi
524,Huyện Bình Sơn,Huyện,51,Tỉnh Quảng Ngãi
525,Huyện Trà Bồng,Huyện,51,Tỉnh Quảng Ngãi
527,Huyện Sơn Tịnh,Huyện,51,Tỉnh Quảng Ngãi
528,Huyện Tư Nghĩa,Huyện,51,Tỉnh Quảng Ngãi
529,Huyện Sơn Hà,Huyện,51,Tỉnh Quảng Ngãi
530,Huyện Sơn Tây,Huyện,51,Tỉnh Quảng Ngãi
531,Huyện Minh Long,Huyện,51,Tỉnh Quảng Ngãi
532,Huyện Nghĩa Hành,Huyện,51,Tỉnh Quảng Ngãi
533,Huyện Mộ Đức,Huyện,51,Tỉnh Quảng Ngãi
534,Thị xã Đức Phổ,Thị xã,51,Tỉnh Quảng Ngãi
535,Huyện Ba Tơ,Huyện,51,Tỉnh Quảng Ngãi
536,Huyện Lý Sơn,Huyện,51,Tỉnh Quảng Ngãi
540,Thành phố Quy Nhơn,Thành phố,52,Tỉnh Bình Định
542,Huyện An Lão,Huyện,52,Tỉnh Bình Định
543,Thị xã Hoài Nhơn,Thị xã,52,Tỉnh Bình Định
544,Huyện Hoài Ân,Huyện,52,Tỉnh Bình Định
545,Huyện Phù Mỹ,Huyện,52,Tỉnh Bình Định
546,Huyện Vĩnh Thạnh,Huyện,52,Tỉnh Bình Định
547,Huyện Tây Sơn,Huyện,52,Tỉnh Bình Định
548,Huyện Phù Cát,Huyện,52,Tỉnh Bình Định
549,Thị xã An Nhơn,Thị xã,52,Tỉnh Bình Định
550,Huyện Tuy Phước,Huyện,52,Tỉnh Bình Định
551,Huyện Vân Canh,Huyện,52,Tỉnh Bình Định
555,Thành phố Tuy Hoà,Thành phố,54,Tỉnh Phú Yên
557,Thị xã Sông Cầu,Thị xã,54,Tỉnh Phú Yên
558,Huyện Đồng Xuân,Huyện,54,Tỉnh Phú Yên
559,Huyện Tuy An,Huyện,54,Tỉnh Phú Yên
560,Huyện Sơn Hòa,Huyện,54,Tỉnh Phú Yên
561,Huyện Sông Hinh,Huyện,54,Tỉnh Phú Yên
562,Huyện Tây Hoà,Huyện,54,Tỉnh Phú Yên
563,Huyện Phú Hoà,Huyện,54,Tỉnh Phú Yên
564,Thị xã Đông Hòa,Thị xã,54,Tỉnh Phú Yên
568,Thành phố Nha Trang,Thành phố,56,Tỉnh Khánh Hòa
569,Thành phố Cam Ranh,Thành phố,56,Tỉnh Khánh Hòa
570,Huyện Cam Lâm,Huyện,56,Tỉnh Khánh Hòa
571,Huyện Vạn Ninh,Huyện,56,Tỉnh Khánh Hòa
572,Thị xã Ninh Hòa,Thị xã,56,Tỉnh Khánh Hòa
573,Huyện Khánh Vĩnh,Huyện,56,Tỉnh Khánh Hòa
574,Huyện Diên Khánh,Huyện,56,Tỉnh Khánh Hòa
575,Huyện Khánh Sơn,Huyện,56,Tỉnh Khánh Hòa
576,Huyện Trường Sa,Huyện,56,Tỉnh Khánh Hòa
582,Thành phố Phan Rang-Tháp Chàm,Thành phố,58,Tỉnh Ninh Thuận
584,Huyện Bác Ái,Huyện,58,Tỉnh Ninh Thuận
585,Huyện Ninh Sơn,Huyện,58,Tỉnh Ninh Thuận
586,Huyện Ninh Hải,Huyện,58,Tỉnh Ninh Thuận
587,Huyện Ninh Phước,Huyện,58,Tỉnh Ninh Thuận
588,Huyện Thuận Bắc,Huyện,58,Tỉnh Ninh Thuận
589,Huyện Thuận Nam,Huyện,58,Tỉnh Ninh Thuận
593,Thành phố Phan Thiết,Thành phố,60,Tỉnh Bình Thuận
594,Thị xã La Gi,Thị xã,60,Tỉnh Bình Thuận
595,Huyện Tuy Phong,Huyện,60,Tỉnh Bình Thuận
596,Huyện Bắc Bình,Huyện,60,Tỉnh Bình Thuận
597,Huyện Hàm Thuận Bắc,Huyện,60,Tỉnh Bình Thuận
598,Huyện Hàm Thuận Nam,Huyện,60,Tỉnh Bình Thuận
599,Huyện Tánh Linh,Huyện,60,Tỉnh Bình Thuận
600,Huyện Đức Linh,Huyện,60,Tỉnh Bình Thuận
601,Huyện Hàm Tân,Huyện,60,Tỉnh Bình Thuận
602,Huyện Phú Quí,Huyện,60,Tỉnh Bình Thuận
608,Thành phố Kon Tum,Thành phố,62,Tỉnh Kon Tum
610,Huyện Đắk Glei,Huyện,62,Tỉnh Kon Tum
611,Huyện Ngọc Hồi,Huyện,62,Tỉnh Kon Tum
612,Huyện Đắk Tô,Huyện,62,Tỉnh Kon Tum
613,Huyện Kon Plông,Huyện,62,Tỉnh Kon Tum
614,Huyện Kon Rẫy,Huyện,62,Tỉnh Kon Tum
615,Huyện Đắk Hà,Huyện,62,Tỉnh Kon Tum
616,Huyện Sa Thầy,Huyện,62,Tỉnh Kon Tum
617,Huyện Tu Mơ Rông,Huyện,62,Tỉnh Kon Tum
618,Huyện Ia H' Drai,Huyện,62,Tỉnh Kon Tum
622,Thành phố Pleiku,Thành phố,64,Tỉnh Gia Lai
623,Thị xã An Khê,Thị xã,64,Tỉnh Gia Lai
624,Thị xã Ayun Pa,Thị xã,64,Tỉnh Gia Lai
625,Huyện KBang,Huyện,64,Tỉnh Gia Lai
626,Huyện Đăk Đoa,Huyện,64,Tỉnh Gia Lai
627,Huyện Chư Păh,Huyện,64,Tỉnh Gia Lai
628,Huyện Ia Grai,Huyện,64,Tỉnh Gia Lai
629,Huyện Mang Yang,Huyện,64,Tỉnh Gia Lai
630,Huyện Kông Chro,Huyện,64,Tỉnh Gia Lai
631,Huyện Đức Cơ,Huyện,64,Tỉnh Gia Lai
632,Huyện Chư Prông,Huyện,64,Tỉnh Gia Lai
633,Huyện Chư Sê,Huyện,64,Tỉnh Gia Lai
634,Huyện Đăk Pơ,Huyện,64,Tỉnh Gia Lai
635,Huyện Ia Pa,Huyện,64,Tỉnh Gia Lai
637,Huyện Krông Pa,Huyện,64,Tỉnh Gia Lai
638,Huyện Phú Thiện,Huyện,64,Tỉnh Gia Lai
639,Huyện Chư Pưh,Huyện,64,Tỉnh Gia Lai
643,Thành phố Buôn Ma Thuột,Thành phố,66,Tỉnh Đắk Lắk
644,Thị Xã Buôn Hồ,Thị xã,66,Tỉnh Đắk Lắk
645,Huyện Ea H'leo,Huyện,66,Tỉnh Đắk Lắk
646,Huyện Ea Súp,Huyện,66,Tỉnh Đắk Lắk
647,Huyện Buôn Đôn,Huyện,66,Tỉnh Đắk Lắk
648,Huyện Cư M'gar,Huyện,66,Tỉnh Đắk Lắk
649,Huyện Krông Búk,Huyện,66,Tỉnh Đắk Lắk
650,Huyện Krông Năng,Huyện,66,Tỉnh Đắk Lắk
651,Huyện Ea Kar,Huyện,66,Tỉnh Đắk Lắk
652,Huyện M'Đrắk,Huyện,66,Tỉnh Đắk Lắk
653,Huyện Krông Bông,Huyện,66,Tỉnh Đắk Lắk
654,Huyện Krông Pắc,Huyện,66,Tỉnh Đắk Lắk
655,Huyện Krông A Na,Huyện,66,Tỉnh Đắk Lắk
656,Huyện Lắk,Huyện,66,Tỉnh Đắk Lắk
657,Huyện Cư Kuin,Huyện,66,Tỉnh Đắk Lắk
660,Thành phố Gia Nghĩa,Thành phố,67,Tỉnh Đắk Nông
661,Huyện Đăk Glong,Huyện,67,Tỉnh Đắk Nông
662,Huyện Cư Jút,Huyện,67,Tỉnh Đắk Nông
663,Huyện Đắk Mil,Huyện,67,Tỉnh Đắk Nông
664,Huyện Krông Nô,Huyện,67,Tỉnh Đắk Nông
665,Huyện Đắk Song,Huyện,67,Tỉnh Đắk Nông
666,Huyện Đắk R'Lấp,Huyện,67,Tỉnh Đắk Nông
667,Huyện Tuy Đức,Huyện,67,Tỉnh Đắk Nông
672,Thành phố Đà Lạt,Thành phố,68,Tỉnh Lâm Đồng
673,Thành phố Bảo Lộc,Thành phố,68,Tỉnh Lâm Đồng
674,Huyện Đam Rông,Huyện,68,Tỉnh Lâm Đồng
675,Huyện Lạc Dương,Huyện,68,Tỉnh Lâm Đồng
676,Huyện Lâm Hà,Huyện,68,Tỉnh Lâm Đồng
677,Huyện Đơn Dương,Huyện,68,Tỉnh Lâm Đồng
678,Huyện Đức Trọng,Huyện,68,Tỉnh Lâm Đồng
679,Huyện Di Linh,Huyện,68,Tỉnh Lâm Đồng
680,Huyện Bảo Lâm,Huyện,68,Tỉnh Lâm Đồng
681,Huyện Đạ Huoai,Huyện,68,Tỉnh Lâm Đồng
682,Huyện Đạ Tẻh,Huyện,68,Tỉnh Lâm Đồng
683,Huyện Cát Tiên,Huyện,68,Tỉnh Lâm Đồng
688,Thị xã Phước Long,Thị xã,70,Tỉnh Bình Phước
689,Thành phố Đồng Xoài,Thành phố,70,Tỉnh Bình Phước
690,Thị xã Bình Long,Thị xã,70,Tỉnh Bình Phước
691,Huyện Bù Gia Mập,Huyện,70,Tỉnh Bình Phước
692,Huyện Lộc Ninh,Huyện,70,Tỉnh Bình Phước
693,Huyện Bù Đốp,Huyện,70,Tỉnh Bình Phước
694,Huyện Hớn Quản,Huyện,70,Tỉnh Bình Phước
695,Huyện Đồng Phú,Huyện,70,Tỉnh Bình Phước
696,Huyện Bù Đăng,Huyện,70,Tỉnh Bình Phước
697,Huyện Chơn Thành,Huyện,70,Tỉnh Bình Phước
698,Huyện Phú Riềng,Huyện,70,Tỉnh Bình Phước
703,Thành phố Tây Ninh,Thành phố,72,Tỉnh Tây Ninh
705,Huyện Tân Biên,Huyện,72,Tỉnh Tây Ninh
706,Huyện Tân Châu,Huyện,72,Tỉnh Tây Ninh
707,Huyện Dương Minh Châu,Huyện,72,Tỉnh Tây Ninh
708,Huyện Châu Thành,Huyện,72,Tỉnh Tây Ninh
709,Thị xã Hòa Thành,Thị xã,72,Tỉnh Tây Ninh
710,Huyện Gò Dầu,Huyện,72,Tỉnh Tây Ninh
711,Huyện Bến Cầu,Huyện,72,Tỉnh Tây Ninh
712,Thị xã Trảng Bàng,Thị xã,72,Tỉnh Tây Ninh
718,Thành phố Thủ Dầu Một,Thành phố,74,Tỉnh Bình Dương
719,Huyện Bàu Bàng,Huyện,74,Tỉnh Bình Dương
720,Huyện Dầu Tiếng,Huyện,74,Tỉnh Bình Dương
721,Thị xã Bến Cát,Thị xã,74,Tỉnh Bình Dương
722,Huyện Phú Giáo,Huyện,74,Tỉnh Bình Dương
723,Thị xã Tân Uyên,Thị xã,74,Tỉnh Bình Dương
724,Thành phố Dĩ An,Thành phố,74,Tỉnh Bình Dương
725,Thành phố Thuận An,Thành phố,74,Tỉnh Bình Dương
726,Huyện Bắc Tân Uyên,Huyện,74,Tỉnh Bình Dương
731,Thành phố Biên Hòa,Thành phố,75,Tỉnh Đồng Nai
732,Thành phố Long Khánh,Thành phố,75,Tỉnh Đồng Nai
734,Huyện Tân Phú,Huyện,75,Tỉnh Đồng Nai
735,Huyện Vĩnh Cửu,Huyện,75,Tỉnh Đồng Nai
736,Huyện Định Quán,Huyện,75,Tỉnh Đồng Nai
737,Huyện Trảng Bom,Huyện,75,Tỉnh Đồng Nai
738,Huyện Thống Nhất,Huyện,75,Tỉnh Đồng Nai
739,Huyện Cẩm Mỹ,Huyện,75,Tỉnh Đồng Nai
740,Huyện Long Thành,Huyện,75,Tỉnh Đồng Nai
741,Huyện Xuân Lộc,Huyện,75,Tỉnh Đồng Nai
742,Huyện Nhơn Trạch,Huyện,75,Tỉnh Đồng Nai
747,Thành phố Vũng Tàu,Thành phố,77,Tỉnh Bà Rịa - Vũng Tàu
748,Thành phố Bà Rịa,Thành phố,77,Tỉnh Bà Rịa - Vũng Tàu
750,Huyện Châu Đức,Huyện,77,Tỉnh Bà Rịa - Vũng Tàu
751,Huyện Xuyên Mộc,Huyện,77,Tỉnh Bà Rịa - Vũng Tàu
752,Huyện Long Điền,Huyện,77,Tỉnh Bà Rịa - Vũng Tàu
753,Huyện Đất Đỏ,Huyện,77,Tỉnh Bà Rịa - Vũng Tàu
754,Thị xã Phú Mỹ,Thị xã,77,Tỉnh Bà Rịa - Vũng Tàu
755,Huyện Côn Đảo,Huyện,77,Tỉnh Bà Rịa - Vũng Tàu
760,Quận 1,Quận,79,Thành phố Hồ Chí Minh
761,Quận 12,Quận,79,Thành phố Hồ Chí Minh
764,Quận Gò Vấp,Quận,79,Thành phố Hồ Chí Minh
765,Quận Bình Thạnh,Quận,79,Thành phố Hồ Chí Minh
766,Quận Tân Bình,Quận,79,Thành phố Hồ Chí Minh
767,Quận Tân Phú,Quận,79,Thành phố Hồ Chí Minh
768,Quận Phú Nhuận,Quận,79,Thành phố Hồ Chí Minh
769,Thành phố Thủ Đức,Thành phố,79,Thành phố Hồ Chí Minh
770,Quận 3,Quận,79,Thành phố Hồ Chí Minh
771,Quận 10,Quận,79,Thành phố Hồ Chí Minh
772,Quận 11,Quận,79,Thành phố Hồ Chí Minh
773,Quận 4,Quận,79,Thành phố Hồ Chí Minh
774,Quận 5,Quận,79,Thành phố Hồ Chí Minh
775,Quận 6,Quận,79,Thành phố Hồ Chí Minh
776,Quận 8,Quận,79,Thành phố Hồ Chí Minh
777,Quận Bình Tân,Quận,79,Thành phố Hồ Chí Minh
778,Quận 7,Quận,79,Thành phố Hồ Chí Minh
783,Huyện Củ Chi,Huyện,79,Thành phố Hồ Chí Minh
784,Huyện Hóc Môn,Huyện,79,Thành phố Hồ Chí Minh
785,Huyện Bình Chánh,Huyện,79,Thành phố Hồ Chí Minh
786,Huyện Nhà Bè,Huyện,79,Thành phố Hồ Chí Minh
787,Huyện Cần Giờ,Huyện,79,Thành phố Hồ Chí Minh
794,Thành phố Tân An,Thành phố,80,Tỉnh Long An
795,Thị xã Kiến Tường,Thị xã,80,Tỉnh Long An
796,Huyện Tân Hưng,Huyện,80,Tỉnh Long An
797,Huyện Vĩnh Hưng,Huyện,80,Tỉnh Long An
798,Huyện Mộc Hóa,Huyện,80,Tỉnh Long An
799,Huyện Tân Thạnh,Huyện,80,Tỉnh Long An
800,Huyện Thạnh Hóa,Huyện,80,Tỉnh Long An
801,Huyện Đức Huệ,Huyện,80,Tỉnh Long An
802,Huyện Đức Hòa,Huyện,80,Tỉnh Long An
803,Huyện Bến Lức,Huyện,80,Tỉnh Long An
804,Huyện Thủ Thừa,Huyện,80,Tỉnh Long An
805,Huyện Tân Trụ,Huyện,80,Tỉnh Long An
806,Huyện Cần Đước,Huyện,80,Tỉnh Long An
807,Huyện Cần Giuộc,Huyện,80,Tỉnh Long An
808,Huyện Châu Thành,Huyện,80,Tỉnh Long An
815,Thành phố Mỹ Tho,Thành phố,82,Tỉnh Tiền Giang
816,Thị xã Gò Công,Thị xã,82,Tỉnh Tiền Giang
817,Thị xã Cai Lậy,Thị xã,82,Tỉnh Tiền Giang
818,Huyện Tân Phước,Huyện,82,Tỉnh Tiền Giang
819,Huyện Cái Bè,Huyện,82,Tỉnh Tiền Giang
820,Huyện Cai Lậy,Huyện,82,Tỉnh Tiền Giang
821,Huyện Châu Thành,Huyện,82,Tỉnh Tiền Giang
822,Huyện Chợ Gạo,Huyện,82,Tỉnh Tiền Giang
823,Huyện Gò Công Tây,Huyện,82,Tỉnh Tiền Giang
824,Huyện Gò Công Đông,Huyện,82,Tỉnh Tiền Giang
825,Huyện Tân Phú Đông,Huyện,82,Tỉnh Tiền Giang
829,Thành phố Bến Tre,Thành phố,83,Tỉnh Bến Tre
831,Huyện Châu Thành,Huyện,83,Tỉnh Bến Tre
832,Huyện Chợ Lách,Huyện,83,Tỉnh Bến Tre
833,Huyện Mỏ Cày Nam,Huyện,83,Tỉnh Bến Tre
834,Huyện Giồng Trôm,Huyện,83,Tỉnh Bến Tre
835,Huyện Bình Đại,Huyện,83,Tỉnh Bến Tre
836,Huyện Ba Tri,Huyện,83,Tỉnh Bến Tre
837,Huyện Thạnh Phú,Huyện,83,Tỉnh Bến Tre
838,Huyện Mỏ Cày Bắc,Huyện,83,Tỉnh Bến Tre
842,Thành phố Trà Vinh,Thành phố,84,Tỉnh Trà Vinh
844,Huyện Càng Long,Huyện,84,Tỉnh Trà Vinh
845,Huyện Cầu Kè,Huyện,84,Tỉnh Trà Vinh
846,Huyện Tiểu Cần,Huyện,84,Tỉnh Trà Vinh
847,Huyện Châu Thành,Huyện,84,Tỉnh Trà Vinh
848,Huyện Cầu Ngang,Huyện,84,Tỉnh Trà Vinh
849,Huyện Trà Cú,Huyện,84,Tỉnh Trà Vinh
850,Huyện Duyên Hải,Huyện,84,Tỉnh Trà Vinh
851,Thị xã Duyên Hải,Thị xã,84,Tỉnh Trà Vinh
855,Thành phố Vĩnh Long,Thành phố,86,Tỉnh Vĩnh Long
857,Huyện Long Hồ,Huyện,86,Tỉnh Vĩnh Long
858,Huyện Mang Thít,Huyện,86,Tỉnh Vĩnh Long
859,Huyện  Vũng Liêm,Huyện,86,Tỉnh Vĩnh Long
860,Huyện Tam Bình,Huyện,86,Tỉnh Vĩnh Long
861,Thị xã Bình Minh,Thị xã,86,Tỉnh Vĩnh Long
862,Huyện Trà Ôn,Huyện,86,Tỉnh Vĩnh Long
863,Huyện Bình Tân,Huyện,86,Tỉnh Vĩnh Long
866,Thành phố Cao Lãnh,Thành phố,87,Tỉnh Đồng Tháp
867,Thành phố Sa Đéc,Thành phố,87,Tỉnh Đồng Tháp
868,Thành phố Hồng Ngự,Thành phố,87,Tỉnh Đồng Tháp
869,Huyện Tân Hồng,Huyện,87,Tỉnh Đồng Tháp
870,Huyện Hồng Ngự,Huyện,87,Tỉnh Đồng Tháp
871,Huyện Tam Nông,Huyện,87,Tỉnh Đồng Tháp
872,Huyện Tháp Mười,Huyện,87,Tỉnh Đồng Tháp
873,Huyện Cao Lãnh,Huyện,87,Tỉnh Đồng Tháp
874,Huyện Thanh Bình,Huyện,87,Tỉnh Đồng Tháp
875,Huyện Lấp Vò,Huyện,87,Tỉnh Đồng Tháp
876,Huyện Lai Vung,Huyện,87,Tỉnh Đồng Tháp
877,Huyện Châu Thành,Huyện,87,Tỉnh Đồng Tháp
883,Thành phố Long Xuyên,Thành phố,89,Tỉnh An Giang
884,Thành phố Châu Đốc,Thành phố,89,Tỉnh An Giang
886,Huyện An Phú,Huyện,89,Tỉnh An Giang
887,Thị xã Tân Châu,Thị xã,89,Tỉnh An Giang
888,Huyện Phú Tân,Huyện,89,Tỉnh An Giang
889,Huyện Châu Phú,Huyện,89,Tỉnh An Giang
890,Huyện Tịnh Biên,Huyện,89,Tỉnh An Giang
891,Huyện Tri Tôn,Huyện,89,Tỉnh An Giang
892,Huyện Châu Thành,Huyện,89,Tỉnh An Giang
893,Huyện Chợ Mới,Huyện,89,Tỉnh An Giang
894,Huyện Thoại Sơn,Huyện,89,Tỉnh An Giang
899,Thành phố Rạch Giá,Thành phố,91,Tỉnh Kiên Giang
900,Thành phố Hà Tiên,Thành phố,91,Tỉnh Kiên Giang
902,Huyện Kiên Lương,Huyện,91,Tỉnh Kiên Giang
903,Huyện Hòn Đất,Huyện,91,Tỉnh Kiên Giang
904,Huyện Tân Hiệp,Huyện,91,Tỉnh Kiên Giang
905,Huyện Châu Thành,Huyện,91,Tỉnh Kiên Giang
906,Huyện Giồng Riềng,Huyện,91,Tỉnh Kiên Giang
907,Huyện Gò Quao,Huyện,91,Tỉnh Kiên Giang
908,Huyện An Biên,Huyện,91,Tỉnh Kiên Giang
909,Huyện An Minh,Huyện,91,Tỉnh Kiên Giang
910,Huyện Vĩnh Thuận,Huyện,91,Tỉnh Kiên Giang
911,Thành phố Phú Quốc,Thành phố,91,Tỉnh Kiên Giang
912,Huyện Kiên Hải,Huyện,91,Tỉnh Kiên Giang
913,Huyện U Minh Thượng,Huyện,91,Tỉnh Kiên Giang
914,Huyện Giang Thành,Huyện,91,Tỉnh Kiên Giang
916,Quận Ninh Kiều,Quận,92,Thành phố Cần Thơ
917,Quận Ô Môn,Quận,92,Thành phố Cần Thơ
918,Quận Bình Thuỷ,Quận,92,Thành phố Cần Thơ
919,Quận Cái Răng,Quận,92,Thành phố Cần Thơ
923,Quận Thốt Nốt,Quận,92,Thành phố Cần Thơ
924,Huyện Vĩnh Thạnh,Huyện,92,Thành phố Cần Thơ
925,Huyện Cờ Đỏ,Huyện,92,Thành phố Cần Thơ
926,Huyện Phong Điền,Huyện,92,Thành phố Cần Thơ
927,Huyện Thới Lai,Huyện,92,Thành phố Cần Thơ
930,Thành phố Vị Thanh,Thành phố,93,Tỉnh Hậu Giang
931,Thành phố Ngã Bảy,Thành phố,93,Tỉnh Hậu Giang
932,Huyện Châu Thành A,Huyện,93,Tỉnh Hậu Giang
933,Huyện Châu Thành,Huyện,93,Tỉnh Hậu Giang
934,Huyện Phụng Hiệp,Huyện,93,Tỉnh Hậu Giang
935,Huyện Vị Thuỷ,Huyện,93,Tỉnh Hậu Giang
936,Huyện Long Mỹ,Huyện,93,Tỉnh Hậu Giang
937,Thị xã Long Mỹ,Thị xã,93,Tỉnh Hậu Giang
941,Thành phố Sóc Trăng,Thành phố,94,Tỉnh Sóc Trăng
942,Huyện Châu Thành,Huyện,94,Tỉnh Sóc Trăng
943,Huyện Kế Sách,Huyện,94,Tỉnh Sóc Trăng
944,Huyện Mỹ Tú,Huyện,94,Tỉnh Sóc Trăng
945,Huyện Cù Lao Dung,Huyện,94,Tỉnh Sóc Trăng
946,Huyện Long Phú,Huyện,94,Tỉnh Sóc Trăng
947,Huyện Mỹ Xuyên,Huyện,94,Tỉnh Sóc Trăng
948,Thị xã Ngã Năm,Thị xã,94,Tỉnh Sóc Trăng
949,Huyện Thạnh Trị,Huyện,94,Tỉnh Sóc Trăng
950,Thị xã Vĩnh Châu,Thị xã,94,Tỉnh Sóc Trăng
951,Huyện Trần Đề,Huyện,94,Tỉnh Sóc Trăng
954,Thành phố Bạc Liêu,Thành phố,95,Tỉnh Bạc Liêu
956,Huyện Hồng Dân,Huyện,95,Tỉnh Bạc Liêu
957,Huyện Phước Long,Huyện,95,Tỉnh Bạc Liêu
958,Huyện Vĩnh Lợi,Huyện,95,Tỉnh Bạc Liêu
959,Thị xã Giá Rai,Thị xã,95,Tỉnh Bạc Liêu
960,Huyện Đông Hải,Huyện,95,Tỉnh Bạc Liêu
961,Huyện Hoà Bình,Huyện,95,Tỉnh Bạc Liêu
964,Thành phố Cà Mau,Thành phố,96,Tỉnh Cà Mau
966,Huyện U Minh,Huyện,96,Tỉnh Cà Mau
967,Huyện Thới Bình,Huyện,96,Tỉnh Cà Mau
968,Huyện Trần Văn Thời,Huyện,96,Tỉnh Cà Mau
969,Huyện Cái Nước,Huyện,96,Tỉnh Cà Mau
970,Huyện Đầm Dơi,Huyện,96,Tỉnh Cà Mau
971,Huyện Năm Căn,Huyện,96,Tỉnh Cà Mau
972,Huyện Phú Tân,Huyện,96,Tỉnh Cà Mau
973,Huyện Ngọc Hiển,Huyện,96,Tỉnh Cà Mau
